id,color,character,type,category
o1,bleu,fonce,chaise,ecole
o3,,,patisserie,carotte
o4,,plastique,sac,
o5,,"transparent, verre",mur,
o6,blanc,,feuille,
o7,,plastique,bouteille ,
o8,,pourrie,viande,
o9,,,bouteille ,oxygene
o10,,mini,panier,
o11,,grand,pourte,
o12,bleu,lumiere,tampon,
o13,,motif,legging,
o14,,rectangle,casier,
o15,"blanc, orange",pois,debardeur,
o16,violet,,culotte,
o17,,cassé,livre,
o18,noir,,debardeur,
o19,"rose, blanc",,collant,
o20,blanc,,livre,
o21,,fer,grille,
o22,,corde,echelle,
o23,"bleu, rouge",,vetement,
o24,"jaune, brun, argenté",petit,carte,
o241,argenté,"cheveux, petit",carte,
o25,,"rectangle, plastique",boite,
o26,"rose, bleu",,maquillage,ombre paupiere
o27,rouge,,maquillage,rouge à levre
o28,"bleu, vert",pailette,maquillage,vernis
o29,,bois,escalier,
o30,,enorme,evier,
o31,,petit,porte,
o32,noir,"bronze, enorme, loup",statue,
o33,"bleu, orange",,etiquette,
o34,,,matelas,voiture
o35,,acier,ascenseur,
o36,rouge,plastique,trappe,
o37,blanc,,robe,
o38,,bois,porte,
o39,,motif,short,
o40,jaune,,pull,
o41,bleu,"cassé, magie",plumeau,
o42,jaune,,borne automatique,
o43,,journal,feuille,
o44,,papyrus,feuille,
o45,,"enorme, bois",porte,
O46,bleu,,chemise,
o47,rouge,,pull,
o48,,bois,cadre,
o49,,cassé,toilette ,
o50,,rond,lunette,
o51,,sale,vetement,
o52,blanc,"fer, enorme",grille,
o53,,rectangle,valise,
o54,,long,cheveux,
o55,,blond,cheveux,
o56,,sale,assiette,
o57,jaune,,lumiere,
o58,"bleu, turquoise",,sweet,
o59,"bleu, turquoise",,casquette,
o60,blanc,,pave,
o61,blanc,,vetement,
o62,"blanc, vert",,sol,
o63,,mini,terrain de foot,
o65,"rouge, blanc",,chemise,
o66,orange,,combi,plongeur
o67,,long,jupe,
o68,,"coupé, moitié",doigt,
o69,,coupé,tete,
o70,,coupé,jambe,
o71,,coupé,bras,
o72,,petit,table,
o73,doré,paillette,robe,
o74,,,materiel,dessin
o75,,moitié,matelas,
o76,,,vetement,sport
o77,,plastique,pipette,
o78,,beton,escalier,
o79,ocre,"lisse, pointu",rocher,
o80,gris,coupant,rocher,
o81,"blanc, noir",,dent,
o82,rouge,,uniforme,
o83,,"architecture, vieux, beau",ascenseur,
o84,,petit,tente,
o85,rouge,terre,estrade,
o86,,bois,facade,
o87,,"calciné, coupé",cadavre,
o88,,plastique,verre,
o89,blanc,,sextoy,
o90,,tissu,sac,
o91,noir,"petit, plastique",tong,
o92,rouge,,bouton,
o93,jaune,,lumiere,
o94,,"fer, suspendu",pont,
o95,vert,,fontaine,
o96,,,cravate,fleur
o97,rose,coeur,post it,
o98,blanc,,vetement,
o99,,beton,rampe,
o101,"violet, bleu",,neon,
o103,blanc,,objet,
o104,,enorme,yeux,
o105,bleu,,masque,plongeur
o106,bleu,,lunette,nuit
o107,vert,,liquide,
o108,,moitié,concombre,
o109,,luminere,objet,
o110,rouge,grand,drapé,
o111,bleu,,couverture,
o112,,grand,tableau,
o113,,"mini, plastique",verre,
o114,,"transparent, brillant",tshirt,
o115,blanc,,tshirt,
o116,,gros,ventre,
o117,vert,,carrelage,
o118,blanc,petit,escalier,
o119,bleu ,"enorme, foncé",porte,camion
o120,vert,,vetement,
o121,rouge,,oignon,
o122,,plame,toit,
o123,,coupé,mangue,
o124,,"enorme, droit",vague,
o125,,eau,mur,
o126,gris,poil,boule,
o127,,mou,corps,
o128,,,bouton,chien
o129,"rouge, blanc",carreau,chemise,
o130,,"rond, fine",lunette,
o131,bleu,diagonal,cloison,